number,PF,dedupPF,divisor
174,"[2, 3, 29]","[2, 3, 29]","[2, 3, 6, 29, 58, 87]"
175,"[5, 5, 7]","[5, 7]","[5, 7, 25, 35]"
176,"[2, 2, 2, 2, 11]","[2, 11]","[2, 4, 8, 11, 16, 22, 44, 88]"
177,"[3, 59]","[3, 59]","[3, 59]"
178,"[2, 89]","[2, 89]","[2, 89]"
179,[179],[179],[]
180,"[2, 2, 3, 3, 5]","[2, 3, 5]","[2, 3, 4, 5, 6, 9, 10, 12, 15, 18, 20, 30, 36, 45, 60, 90]"
181,[181],[181],[]
182,"[2, 7, 13]","[2, 7, 13]","[2, 7, 13, 14, 26, 91]"
183,"[3, 61]","[3, 61]","[3, 61]"
184,"[2, 2, 2, 23]","[2, 23]","[2, 4, 8, 23, 46, 92]"
185,"[5, 37]","[5, 37]","[5, 37]"
186,"[2, 3, 31]","[2, 3, 31]","[2, 3, 6, 31, 62, 93]"
187,"[11, 17]","[11, 17]","[11, 17]"
188,"[2, 2, 47]","[2, 47]","[2, 4, 47, 94]"
189,"[3, 3, 3, 7]","[3, 7]","[3, 7, 9, 21, 27, 63]"
190,"[2, 5, 19]","[2, 5, 19]","[2, 5, 10, 19, 38, 95]"
191,[191],[191],[]
192,"[2, 2, 2, 2, 2, 2, 3]","[2, 3]","[2, 3, 4, 6, 8, 12, 16, 24, 32, 48, 64, 96]"
193,[193],[193],[]
194,"[2, 97]","[2, 97]","[2, 97]"
195,"[3, 5, 13]","[3, 5, 13]","[3, 5, 13, 15, 39, 65]"
196,"[2, 2, 7, 7]","[2, 7]","[2, 4, 7, 14, 28, 49, 98]"
197,[197],[197],[]
198,"[2, 3, 3, 11]","[2, 3, 11]","[2, 3, 6, 9, 11, 18, 22, 33, 66, 99]"
199,[199],[199],[]
200,"[2, 2, 2, 5, 5]","[2, 5]","[2, 4, 5, 8, 10, 20, 25, 40, 50, 100]"
201,"[3, 67]","[3, 67]","[3, 67]"
202,"[2, 101]","[2, 101]","[2, 101]"
203,"[7, 29]","[7, 29]","[7, 29]"
204,"[2, 2, 3, 17]","[2, 3, 17]","[2, 3, 4, 6, 12, 17, 34, 51, 68, 102]"
205,"[5, 41]","[5, 41]","[5, 41]"
206,"[2, 103]","[2, 103]","[2, 103]"
207,"[3, 3, 23]","[3, 23]","[3, 9, 23, 69]"
208,"[2, 2, 2, 2, 13]","[2, 13]","[2, 4, 8, 13, 16, 26, 52, 104]"
209,"[11, 19]","[11, 19]","[11, 19]"
210,"[2, 3, 5, 7]","[2, 3, 5, 7]","[2, 3, 5, 6, 7, 10, 14, 15, 21, 30, 35, 42, 70, 105]"
211,[211],[211],[]
212,"[2, 2, 53]","[2, 53]","[2, 4, 53, 106]"
213,"[3, 71]","[3, 71]","[3, 71]"
214,"[2, 107]","[2, 107]","[2, 107]"
215,"[5, 43]","[5, 43]","[5, 43]"
216,"[2, 2, 2, 3, 3, 3]","[2, 3]","[2, 3, 4, 6, 8, 9, 12, 18, 24, 27, 36, 54, 72, 108]"
217,"[7, 31]","[7, 31]","[7, 31]"
218,"[2, 109]","[2, 109]","[2, 109]"
219,"[3, 73]","[3, 73]","[3, 73]"
220,"[2, 2, 5, 11]","[2, 5, 11]","[2, 4, 5, 10, 11, 20, 22, 44, 55, 110]"
221,"[13, 17]","[13, 17]","[13, 17]"
222,"[2, 3, 37]","[2, 3, 37]","[2, 3, 6, 37, 74, 111]"
223,[223],[223],[]
224,"[2, 2, 2, 2, 2, 7]","[2, 7]","[2, 4, 7, 8, 14, 16, 28, 32, 56, 112]"
225,"[3, 3, 5, 5]","[3, 5]","[3, 5, 9, 15, 25, 45, 75]"
226,"[2, 113]","[2, 113]","[2, 113]"
227,[227],[227],[]
228,"[2, 2, 3, 19]","[2, 3, 19]","[2, 3, 4, 6, 12, 19, 38, 57, 76, 114]"
229,[229],[229],[]
230,"[2, 5, 23]","[2, 5, 23]","[2, 5, 10, 23, 46, 115]"
231,"[3, 7, 11]","[3, 7, 11]","[3, 7, 11, 21, 33, 77]"
232,"[2, 2, 2, 29]","[2, 29]","[2, 4, 8, 29, 58, 116]"
233,[233],[233],[]
234,"[2, 3, 3, 13]","[2, 3, 13]","[2, 3, 6, 9, 13, 18, 26, 39, 78, 117]"
235,"[5, 47]","[5, 47]","[5, 47]"
236,"[2, 2, 59]","[2, 59]","[2, 4, 59, 118]"
237,"[3, 79]","[3, 79]","[3, 79]"
238,"[2, 7, 17]","[2, 7, 17]","[2, 7, 14, 17, 34, 119]"
239,[239],[239],[]
240,"[2, 2, 2, 2, 3, 5]","[2, 3, 5]","[2, 3, 4, 5, 6, 8, 10, 12, 15, 16, 20, 24, 30, 40, 48, 60, 80, 120]"
241,[241],[241],[]
242,"[2, 11, 11]","[2, 11]","[2, 11, 22, 121]"
243,"[3, 3, 3, 3, 3]",[3],"[3, 9, 27, 81]"
244,"[2, 2, 61]","[2, 61]","[2, 4, 61, 122]"
245,"[5, 7, 7]","[5, 7]","[5, 7, 35, 49]"
246,"[2, 3, 41]","[2, 3, 41]","[2, 3, 6, 41, 82, 123]"
247,"[13, 19]","[13, 19]","[13, 19]"
248,"[2, 2, 2, 31]","[2, 31]","[2, 4, 8, 31, 62, 124]"
249,"[3, 83]","[3, 83]","[3, 83]"
